RND,model,MSE,LPIPS_alex,LPIPS_vgg,LPIPS_squeeze,LPIPS_alex_norsz,LPIPS_vgg_norsz,LPIPS_squeeze_norsz
56,Gaussian,0.020314505,0.4313884675502777,0.4631654918193817,0.2915937304496765,0.3925386071205139,0.4808000326156616,0.4849124848842621
56,Delta,0.10979637,0.47251662611961365,0.579666018486023,0.38164710998535156,0.356497585773468,0.5097360610961914,0.33123499155044556
57,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Gaussian,0.017699352,0.46480053663253784,0.47058188915252686,0.3158772587776184,0.2826331853866577,0.47888413071632385,0.4375196695327759
57,Delta,0.057149354,0.44708895683288574,0.5596995949745178,0.3437076210975647,0.2297099381685257,0.48941123485565186,0.2998867630958557
58,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Gaussian,0.0095853405,0.3484167754650116,0.38294440507888794,0.23124608397483826,0.18932169675827026,0.3791629672050476,0.251988023519516
58,Delta,0.035277504,0.4297454357147217,0.5273958444595337,0.308115154504776,0.2646000385284424,0.49653881788253784,0.23559871315956116
59,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Gaussian,0.0090026315,0.37298333644866943,0.4072951376438141,0.26035571098327637,0.2648355960845947,0.415124773979187,0.30660030245780945
59,Delta,0.029418161,0.3934851288795471,0.515334963798523,0.31394264101982117,0.26043298840522766,0.4352494478225708,0.2568446099758148
60,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Gaussian,0.010914882,0.4229375720024109,0.4249989986419678,0.28724396228790283,0.4025842249393463,0.4400724172592163,0.3770591914653778
60,Delta,0.037714455,0.4543412923812866,0.555335283279419,0.36715269088745117,0.3380838930606842,0.49533307552337646,0.2945649325847626
61,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Gaussian,0.0087914625,0.41679948568344116,0.40498849749565125,0.2887934148311615,0.2542989253997803,0.43866193294525146,0.26954615116119385
61,Delta,0.047608603,0.47963759303092957,0.5568035840988159,0.3924084007740021,0.27152204513549805,0.5344631671905518,0.2791706621646881
62,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,Gaussian,0.012903315,0.46941760182380676,0.4683391749858856,0.34808820486068726,0.3400939404964447,0.4799913167953491,0.39512255787849426
62,Delta,0.09312933,0.5147292017936707,0.5813745260238647,0.4400429427623749,0.4467609226703644,0.5551210045814514,0.38077259063720703
63,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,Gaussian,0.015500784,0.4166882038116455,0.44786620140075684,0.2849261462688446,0.3239232301712036,0.5056105852127075,0.33957433700561523
63,Delta,0.056836996,0.500147819519043,0.6042832136154175,0.41625362634658813,0.36699897050857544,0.5761971473693848,0.3070389926433563
64,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,Gaussian,0.0154825775,0.38691502809524536,0.4737986624240875,0.3145331144332886,0.27908939123153687,0.46734896302223206,0.31920236349105835
64,Delta,0.037359152,0.33849120140075684,0.4594460427761078,0.27461135387420654,0.19596326351165771,0.40660423040390015,0.20190706849098206
65,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,Gaussian,0.011749655,0.4256516695022583,0.45591896772384644,0.3248775899410248,0.3426564037799835,0.4706284701824188,0.3329607844352722
65,Delta,0.038317632,0.3574077785015106,0.5069429874420166,0.31068554520606995,0.18213322758674622,0.3582337498664856,0.23954570293426514
66,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Gaussian,0.010420675,0.438331663608551,0.43996864557266235,0.3162931799888611,0.3290289640426636,0.4372084140777588,0.5049509406089783
66,Delta,0.05981387,0.48911625146865845,0.5818642377853394,0.3769277036190033,0.2868667542934418,0.5006069540977478,0.331447571516037
67,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,Gaussian,0.008932897,0.4388958811759949,0.4393748641014099,0.300577849149704,0.28371289372444153,0.426186740398407,0.3171379268169403
67,Delta,0.04774031,0.38368895649909973,0.49793541431427,0.2943633198738098,0.2841987609863281,0.39505037665367126,0.2325473129749298
68,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Gaussian,0.013831138,0.48339176177978516,0.47644490003585815,0.36177265644073486,0.4186592102050781,0.4932592511177063,0.516238808631897
68,Delta,0.07798243,0.4796038269996643,0.6392940282821655,0.4213870167732239,0.2968616485595703,0.5461391806602478,0.286416232585907
69,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Gaussian,0.013133031,0.49078869819641113,0.4927070140838623,0.33893492817878723,0.3329213857650757,0.4918877184391022,0.3975387215614319
69,Delta,0.066262804,0.41686490178108215,0.51023268699646,0.34677693247795105,0.29714569449424744,0.444021075963974,0.233853280544281
70,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Gaussian,0.014934623,0.4044395685195923,0.4217545986175537,0.27388954162597656,0.3520204424858093,0.43263232707977295,0.38032734394073486
70,Delta,0.03820112,0.46093279123306274,0.5329686403274536,0.335849791765213,0.22571057081222534,0.48588940501213074,0.24087095260620117
71,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,Gaussian,0.011721581,0.3959631323814392,0.42161452770233154,0.28721997141838074,0.3120875060558319,0.4368107318878174,0.34460026025772095
71,Delta,0.031068454,0.345505028963089,0.5322667360305786,0.2780328691005707,0.189170241355896,0.38597622513771057,0.21325309574604034
72,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Gaussian,0.011997408,0.45545342564582825,0.4856151342391968,0.30126041173934937,0.31944361329078674,0.4651387929916382,0.4345194101333618
72,Delta,0.063875005,0.46740221977233887,0.5524753332138062,0.3550794720649719,0.3018473982810974,0.46189457178115845,0.2957462966442108
73,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,Gaussian,0.011100791,0.4105827808380127,0.43215739727020264,0.2615582346916199,0.5230141282081604,0.4241892099380493,0.2908099889755249
73,Delta,0.08532425,0.5818411707878113,0.6241654753684998,0.4619136452674866,0.6862643361091614,0.5934842824935913,0.42020630836486816
74,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Gaussian,0.018712725,0.623113214969635,0.5526706576347351,0.46614739298820496,0.5039324760437012,0.5400211811065674,0.5224460959434509
74,Delta,0.03618518,0.4259951710700989,0.47108566761016846,0.3199704885482788,0.2747582793235779,0.4855097234249115,0.23058132827281952
75,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Gaussian,0.012025841,0.44310376048088074,0.47768595814704895,0.34044477343559265,0.44374459981918335,0.49374911189079285,0.4388241469860077
75,Delta,0.079261355,0.5382665395736694,0.6539337635040283,0.4567757844924927,0.4482499659061432,0.6070930361747742,0.365073561668396
76,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Gaussian,0.01112323,0.385273814201355,0.4235883951187134,0.29170218110084534,0.27749329805374146,0.44316449761390686,0.32873374223709106
76,Delta,0.045246553,0.4598568081855774,0.5924789905548096,0.4016391932964325,0.33592626452445984,0.5126127004623413,0.2951231598854065
77,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Gaussian,0.026743397,0.5193704962730408,0.5045474767684937,0.3898957073688507,0.38146817684173584,0.5087721347808838,0.41947752237319946
77,Delta,0.040852536,0.3312565088272095,0.48534804582595825,0.2917007803916931,0.23308604955673218,0.3809177577495575,0.21959438920021057
78,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,Gaussian,0.019109786,0.4439481198787689,0.4876474142074585,0.33053523302078247,0.3322109580039978,0.5011647939682007,0.3354816138744354
78,Delta,0.05845557,0.3295905590057373,0.47679463028907776,0.2602750062942505,0.18818241357803345,0.3844691514968872,0.21097901463508606
79,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,Gaussian,0.011654582,0.37045279145240784,0.41605105996131897,0.2602807283401489,0.38360273838043213,0.40090465545654297,0.26243746280670166
79,Delta,0.050700013,0.5427995920181274,0.6610244512557983,0.41005682945251465,0.5045616030693054,0.5556060075759888,0.3398936092853546
80,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,Gaussian,0.015046753,0.43006637692451477,0.4361366629600525,0.2895779311656952,0.33866041898727417,0.44321417808532715,0.38567066192626953
80,Delta,0.054667026,0.47155141830444336,0.601585328578949,0.34902462363243103,0.29714757204055786,0.48926523327827454,0.24219749867916107
81,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,Gaussian,0.02941595,0.545955240726471,0.504511833190918,0.40720149874687195,0.40372341871261597,0.5332773923873901,0.4541526138782501
81,Delta,0.07798933,0.4379999041557312,0.5215449333190918,0.33373335003852844,0.3003291189670563,0.5223875045776367,0.25910893082618713
82,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Gaussian,0.023726843,0.4821619987487793,0.5160998106002808,0.36890658736228943,0.38776135444641113,0.48178139328956604,0.4044080376625061
