,epoch,sigma,name,St_EV,St_EV_std,St_EV_rev,St_EV_rev_std,Dt_EV,Dt_EV_std,Dt_EV_rev,Dt_EV_rev_std,St_Var,St_Var_std,Dt_Var,Dt_Var_std,St_residual,St_rev_residual,Dt_residual,Dt_rev_residual
0,0,0.01,EDM,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,58650.21875,18800.814453125,3666.626953125,1175.276123046875,0.0,0.0,0.0,0.0
1,0,0.01,mean isotropic,-5318083.5,1319103.75,0.0008093074429780245,0.00010557649511611089,0.14934122562408447,0.21101096272468567,-4.208486080169678,2.0129098892211914,308787019776.0,119323623424.0,592.380615234375,8.32675359561108e-05,5318084.5,0.999190692557022,0.8506587743759155,5.208486080169678
2,0,0.01,mean + std isotropic,0.8205000162124634,0.06362361460924149,0.7735186815261841,0.09157496690750122,1.0,2.5449644169839303e-08,1.0,2.5449644169839303e-08,48305.98046875,18666.732421875,3667.12255859375,1175.3995361328125,0.17949998378753662,0.22648131847381592,0.0,0.0
3,0,0.01,gaussian,-392.67205810546875,175.125,0.0015873570227995515,0.0017342949286103249,0.9999370574951172,2.8007949367747642e-05,0.9999370574951172,2.8039632525178604e-05,21185356.0,7427127.0,3667.2470703125,1176.04443359375,393.67205810546875,0.9984126429772004,6.29425048828125e-05,6.29425048828125e-05
4,0,0.01,gaussian regularize,-196.09182739257812,95.30403900146484,0.0019412623951211572,0.0034241685643792152,0.9999685287475586,1.5241748769767582e-05,0.9999684691429138,1.5256999176926911e-05,10662894.0,4420808.5,3667.4375,1176.054443359375,197.09182739257812,0.9980587376048788,3.147125244140625e-05,3.153085708618164e-05
5,0,0.01,gmm delta,-2331.30322265625,837.25146484375,0.00030496111139655113,0.00041574350325390697,0.9996269345283508,0.00013390426465775818,0.9996271133422852,0.00013392639812082052,122877168.0,1535330.375,3668.38525390625,1176.194580078125,2332.30322265625,0.9996950388886034,0.0003730654716491699,0.00037288665771484375
6,0,0.01,gmm_20_mode,-1358.6449309672103,492.60733120215656,0.0004693209522961722,0.0002724811329987317,0.9997825192802453,7.878719813082974e-05,0.9997825758088681,7.881626913972827e-05,71699704.29454523,6634959.054319173,3667.9741778030807,1176.2091057454707,1359.6449309672103,0.9995306790477039,0.0002174807197546924,0.0002174241911319097
7,0,0.01,gmm_10_mode,-924.5267100997132,364.13911107137915,0.0007410946632829586,0.00040013318313330897,0.9998519585165231,5.823752048192042e-05,0.9998519837943062,5.826582025829963e-05,48725923.34710042,6363435.996179142,3667.6978466860382,1176.1980406351952,925.5267100997132,0.999258905336717,0.00014804148347691282,0.0001480162056938239
8,0,0.01,gmm_5_mode,-577.3997567832905,241.56286881813344,0.0012361119400605206,0.00079780218726906,0.9999074831168182,3.863369363042934e-05,0.9999074928183754,3.8651534978527786e-05,30116483.166701086,3368393.8858003854,3667.4625072637778,1176.1224351854719,578.3997567832905,0.9987638880599394,9.251688318179241e-05,9.250718162456817e-05
9,0,0.01,gmm_2_mode,-393.56934121905937,148.2906386833499,0.0016525734292084653,0.0015894322833606357,0.9999368873118062,2.3716998219386078e-05,0.9999368903022958,2.373497224273973e-05,21009613.556342132,4122892.157304703,3667.3219669168802,1176.0751702804025,394.56934121905937,0.9983474265707916,6.311268819381155e-05,6.310969770417785e-05
10,0,0.01,gmm_1_mode,-342.2522564572778,154.15263011924392,0.0016897532175153582,0.0019797940196024234,0.9999450956238276,2.4655963320104106e-05,0.9999450946345947,2.4682375009833644e-05,18491158.842074566,6653929.554196743,3667.276145222312,1176.0458617134898,343.2522564572778,0.9983102467824846,5.49043761723933e-05,5.49053654053111e-05
11,0,0.02,EDM,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,59315.21875,19389.83203125,3706.9462890625,1211.73046875,0.0,0.0,0.0,0.0
12,0,0.02,mean isotropic,-333513.6875,81305.7421875,0.003223998937755823,0.00040975946467369795,0.14614680409431458,0.20816095173358917,-4.285927772521973,2.0492687225341797,19633025024.0,7608428544.0,592.380615234375,8.473066554870456e-05,333514.6875,0.9967760010622442,0.8538531959056854,5.285927772521973
13,0,0.02,mean + std isotropic,0.8221948742866516,0.06354972720146179,0.7763429284095764,0.09643642604351044,0.9999995231628418,1.6447393136331812e-07,0.9999995231628418,1.646269396360367e-07,49025.15625,18998.826171875,3708.921875,1212.2471923828125,0.1778051257133484,0.22365707159042358,4.76837158203125e-07,4.76837158203125e-07
14,0,0.02,gaussian,-174.85748291015625,68.50556945800781,0.003605489619076252,0.0032334590796381235,0.9995498061180115,0.00017537755775265396,0.9995499849319458,0.00017594151722732931,9500510.0,2379448.0,3710.47412109375,1215.0806884765625,175.85748291015625,0.9963945103809237,0.0004501938819885254,0.0004500150680541992
15,0,0.02,gaussian regularize,-131.4810791015625,52.59983444213867,0.0038243569433689117,0.004246569238603115,0.999660849571228,0.0001346561184618622,0.9996609687805176,0.00013506754476111382,7170715.5,1940593.375,3710.7607421875,1215.0941162109375,132.4810791015625,0.9961756430566311,0.00033915042877197266,0.0003390312194824219
16,0,0.02,gmm delta,-577.2965087890625,209.6362762451172,0.0012356915976852179,0.0010115386685356498,0.9985194206237793,0.0005366793484427035,0.9985218048095703,0.0005368972779251635,30722064.0,400215.78125,3713.98876953125,1215.50830078125,578.2965087890625,0.9987643084023148,0.0014805793762207031,0.0014781951904296875
