RND,model,MSE,LPIPS_alex,LPIPS_vgg,LPIPS_squeeze,LPIPS_alex_norsz,LPIPS_vgg_norsz,LPIPS_squeeze_norsz
6,GMM,0.022186836,0.409239798784256,0.4961361885070801,0.3146796226501465,0.10218364000320435,0.43943729996681213,0.3274199068546295
6,Delta,0.04244542,0.3794563114643097,0.5129665732383728,0.3325740098953247,0.08618053793907166,0.4780464172363281,0.18636703491210938
7,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Gaussian,0.0053544864,0.2094574123620987,0.2690640687942505,0.14676663279533386,0.03484802693128586,0.16906017065048218,0.10110849142074585
7,GMM,0.005085474,0.19719001650810242,0.29715636372566223,0.14475132524967194,0.033338215202093124,0.17624838650226593,0.07816455513238907
7,Delta,0.02839373,0.41157612204551697,0.5695880055427551,0.3153880834579468,0.08522821962833405,0.4079146385192871,0.16218525171279907
8,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Gaussian,0.025468878,0.38438621163368225,0.43595677614212036,0.3340129554271698,0.17784908413887024,0.482322096824646,0.3008814752101898
8,GMM,0.024202505,0.2971673309803009,0.3082558214664459,0.22490254044532776,0.1549546718597412,0.39849042892456055,0.19616511464118958
8,Delta,0.05859213,0.35296228528022766,0.30550092458724976,0.23204347491264343,0.07702834904193878,0.30949196219444275,0.07901014387607574
9,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Gaussian,0.008586537,0.24115967750549316,0.33049771189689636,0.18186281621456146,0.06395885348320007,0.35182785987854004,0.21904884278774261
9,GMM,0.007162921,0.21198371052742004,0.3288525640964508,0.17119690775871277,0.042254649102687836,0.35354918241500854,0.20450448989868164
9,Delta,0.03214014,0.5149475932121277,0.6104556918144226,0.45722296833992004,0.13445934653282166,0.6105576753616333,0.4061296284198761
10,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Gaussian,0.007752452,0.33105725049972534,0.416011244058609,0.2555317282676697,0.05578184872865677,0.39515018463134766,0.24874012172222137
10,GMM,0.008195907,0.34516435861587524,0.441652774810791,0.28447282314300537,0.07315154373645782,0.40959906578063965,0.27197909355163574
10,Delta,0.04665072,0.4029200077056885,0.5907602906227112,0.3212796747684479,0.09469132125377655,0.4892618954181671,0.2396559715270996
11,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Gaussian,0.007603891,0.3932228684425354,0.44446054100990295,0.3401036262512207,0.07817687839269638,0.4624520242214203,0.42196106910705566
11,GMM,0.0062744548,0.368202269077301,0.44706475734710693,0.3173694312572479,0.06861601024866104,0.4549674391746521,0.39649370312690735
11,Delta,0.04651152,0.42962419986724854,0.5030789375305176,0.3377484381198883,0.15364998579025269,0.5546550750732422,0.29423052072525024
12,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Gaussian,0.009744986,0.3486047387123108,0.4250001311302185,0.2871752977371216,0.07094857841730118,0.44335418939590454,0.40932148694992065
12,GMM,0.00653706,0.3094226121902466,0.3817242383956909,0.24793487787246704,0.04984226077795029,0.40887823700904846,0.35078203678131104
12,Delta,0.03954426,0.4039837718009949,0.49563637375831604,0.28980010747909546,0.04962260648608208,0.45529887080192566,0.16224715113639832
13,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Gaussian,0.011831838,0.2904362380504608,0.3816812038421631,0.23299062252044678,0.03996504098176956,0.3984390199184418,0.31233057379722595
13,GMM,0.011674166,0.3196428716182709,0.4163891673088074,0.2691119909286499,0.05417785048484802,0.40571433305740356,0.3258777856826782
13,Delta,0.07407664,0.4941771626472473,0.5941684246063232,0.41897478699684143,0.170424684882164,0.5286149382591248,0.26138490438461304
14,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Gaussian,0.008327662,0.26542526483535767,0.3762337565422058,0.19587264955043793,0.04760056734085083,0.34401339292526245,0.29917746782302856
14,GMM,0.007621533,0.25818443298339844,0.37700140476226807,0.19278593361377716,0.04422452673316002,0.35216447710990906,0.2602938711643219
14,Delta,0.06463867,0.4666808843612671,0.6455515623092651,0.3408592641353607,0.16417358815670013,0.5877577066421509,0.34890687465667725
15,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Gaussian,0.005775278,0.22032733261585236,0.2784762382507324,0.14172983169555664,0.04250370338559151,0.32627981901168823,0.19051593542099
15,GMM,0.004234755,0.194978266954422,0.268655002117157,0.12986794114112854,0.027374546974897385,0.3056771159172058,0.13404564559459686
15,Delta,0.03674465,0.398576021194458,0.5744027495384216,0.33419787883758545,0.07504061609506607,0.4953603744506836,0.32454049587249756
16,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Gaussian,0.01086048,0.22861070930957794,0.3315637707710266,0.1865234076976776,0.030230849981307983,0.3068113327026367,0.13551269471645355
16,GMM,0.0098417485,0.2129770815372467,0.3142462372779846,0.16407617926597595,0.0286810714751482,0.26813650131225586,0.09628472477197647
16,Delta,0.08327738,0.4454323947429657,0.6088084578514099,0.35829922556877136,0.056058693677186966,0.4191189408302307,0.12712544202804565
17,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Gaussian,0.022309726,0.4429776668548584,0.5078117847442627,0.3646571636199951,0.05922272428870201,0.5114061236381531,0.3755595088005066
17,GMM,0.021780143,0.4369628131389618,0.5006135106086731,0.3487550914287567,0.05968376621603966,0.4993554949760437,0.34988537430763245
17,Delta,0.057773363,0.44461750984191895,0.472560852766037,0.34966662526130676,0.1604790836572647,0.49863937497138977,0.2078666090965271
18,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Gaussian,0.015393083,0.3776434063911438,0.4858745336532593,0.3251955509185791,0.09275370836257935,0.42776715755462646,0.3021675944328308
18,GMM,0.015173842,0.36937129497528076,0.4715636074542999,0.3191790282726288,0.0739315003156662,0.4088174104690552,0.26648128032684326
18,Delta,0.054142922,0.3621547222137451,0.47381681203842163,0.2722770571708679,0.03834972903132439,0.3290761709213257,0.13402292132377625
19,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Gaussian,0.019548131,0.3592756390571594,0.44456973671913147,0.3076378107070923,0.04591217264533043,0.46216922998428345,0.26995354890823364
19,GMM,0.019551605,0.3236091732978821,0.43568742275238037,0.2870292067527771,0.03254275396466255,0.37758731842041016,0.21126243472099304
19,Delta,0.05413224,0.5847011804580688,0.7453824281692505,0.5066519975662231,0.16254980862140656,0.6972160935401917,0.33108264207839966
20,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Gaussian,0.008965057,0.33403533697128296,0.3686509430408478,0.25806060433387756,0.0533578060567379,0.39777493476867676,0.40911227464675903
20,GMM,0.010499467,0.3285874128341675,0.37628740072250366,0.24023503065109253,0.060257039964199066,0.3855222463607788,0.37249913811683655
20,Delta,0.038649287,0.41445282101631165,0.5432095527648926,0.29953330755233765,0.16247759759426117,0.5318761467933655,0.2074376940727234
21,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Gaussian,0.0050823353,0.13697563111782074,0.239955335855484,0.10470829904079437,0.026966262608766556,0.20204326510429382,0.04127591475844383
21,GMM,0.0036281273,0.12601162493228912,0.2443881779909134,0.10011520981788635,0.016962315887212753,0.18506529927253723,0.02927662618458271
21,Delta,0.054206844,0.43592071533203125,0.6062009930610657,0.3393890857696533,0.13924893736839294,0.47725287079811096,0.3230549693107605
22,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Gaussian,0.0073310346,0.25602275133132935,0.351990282535553,0.19601954519748688,0.03589237108826637,0.33710139989852905,0.22554592788219452
22,GMM,0.00835941,0.27255555987358093,0.3739699423313141,0.2160015106201172,0.03507239744067192,0.34964650869369507,0.233600914478302
22,Delta,0.062140804,0.444491446018219,0.6298433542251587,0.35467666387557983,0.11116354167461395,0.4493709206581116,0.21571308374404907
23,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Gaussian,0.020340426,0.3543247580528259,0.4712957739830017,0.2731383144855499,0.06149574741721153,0.45267951488494873,0.2607949376106262
23,GMM,0.019294133,0.333878755569458,0.44271954894065857,0.25129377841949463,0.04522775858640671,0.41503235697746277,0.19664889574050903
23,Delta,0.06630692,0.3606291115283966,0.48969173431396484,0.29365074634552,0.057007718831300735,0.28457045555114746,0.12388549745082855
24,EDM,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Gaussian,0.0085882535,0.26295942068099976,0.3625350296497345,0.20626984536647797,0.049437668174505234,0.30211561918258667,0.2965412139892578
24,GMM,0.008855169,0.26331689953804016,0.36135798692703247,0.2105320245027542,0.05682512745261192,0.2977285385131836,0.2897632420063019
24,Delta,0.05206703,0.42438119649887085,0.5589168071746826,0.32445812225341797,0.0687723308801651,0.4205248951911926,0.1345948576927185
