n_clusters,n_rank,eval_loss_arr,Nparams
1,8,"[311554.05, 14224.7453125, 6947.9455078125, 4422.605859375, 3191.59794921875, 2442.051806640625, 1941.455810546875, 1581.5740966796875, 1320.023828125, 1113.7333984375, 954.488623046875, 821.4664916992188, 719.8515625, 630.276708984375, 554.0180297851563, 485.1317993164063, 435.452587890625, 386.106689453125, 346.78057861328125, 309.0959777832031, 276.5542785644531, 250.1366760253906, 226.21773376464844, 203.0976348876953, 184.45549926757812, 167.0426513671875, 152.27898559570312, 137.84253845214843, 124.8964599609375, 114.04400787353515, 103.83005218505859, 94.33433074951172, 86.57389068603516, 78.95100860595703, 72.1711410522461, 66.27362060546875, 60.94898452758789, 55.8648796081543, 51.279625701904294, 47.02619857788086, 43.299462890625, 39.600213623046876, 36.553453826904295, 33.71334228515625, 31.15975341796875, 28.417562103271486, 26.35075225830078, 24.307780075073243, 22.416994857788087, 20.726177215576172, 19.083950805664063]",7065
5,784,"[523.2110595703125, 357.39666748046875, 302.2734741210937, 266.3538757324219, 240.88642272949218, 219.25039367675782, 202.18064575195314, 186.57195129394532, 172.95488586425782, 162.07659912109375, 152.2379180908203, 142.06375427246093, 133.47350158691407, 126.19269256591797, 118.18137969970704, 112.1281234741211, 105.57152557373047, 99.68267517089843, 93.88548736572265, 89.15335540771484, 84.13510589599609, 79.3896240234375, 75.24543609619141, 71.49358367919922, 66.96072692871094, 63.88068542480469, 60.23145980834961, 56.720132446289064, 53.681583404541016, 50.70601577758789, 47.92002792358399, 45.31531829833985, 42.84432601928711, 40.56726913452148, 38.10701675415039, 36.137237548828125, 33.79946517944336, 32.16012535095215, 30.243105697631837, 28.585231018066406, 26.84884567260742, 25.261031723022462, 23.72963180541992, 22.358473587036134, 21.10481834411621, 19.83382797241211, 18.588723754882814, 17.51155662536621, 16.515511322021485, 15.492239379882813, 14.53055648803711]",3081125
5,512,"[545.513134765625, 358.3236083984375, 301.98093872070314, 266.46653442382814, 240.78631591796875, 219.59405212402345, 201.94141235351563, 187.17483520507812, 173.30564575195314, 161.9792938232422, 152.10751037597657, 142.08427734375, 132.80043334960936, 125.19873657226563, 118.43241271972656, 111.60670318603516, 105.69596405029297, 99.41062469482422, 93.89879455566407, 88.84669189453125, 84.24931945800782, 79.59477233886719, 74.90858306884766, 71.2263427734375, 67.07437744140626, 63.58053436279297, 60.06326141357422, 56.66194458007813, 53.646217346191406, 50.8288459777832, 47.88327484130859, 45.287079620361325, 43.0353286743164, 40.5105339050293, 38.208760833740236, 35.98120803833008, 33.84789199829102, 32.19255828857422, 30.180630493164063, 28.545123291015624, 26.732605361938475, 25.278643798828124, 23.764024353027345, 22.400749588012694, 21.107855987548827, 19.834543991088868, 18.622626876831056, 17.462197494506835, 16.47149085998535, 15.638919448852539, 14.549572372436524]",2013525
5,374,"[1849.7529296875, 381.7893310546875, 312.1310302734375, 271.1131225585938, 241.9432403564453, 221.50326538085938, 202.13609924316407, 187.05775146484376, 173.7545928955078, 161.79072265625, 151.78585510253907, 142.16771545410157, 133.56314392089843, 126.02523040771484, 118.3156021118164, 111.5834747314453, 105.73082885742187, 99.87687835693359, 93.8283187866211, 89.20887603759766, 84.18443603515625, 78.97748718261718, 75.3797119140625, 70.89074096679687, 67.28878173828124, 63.36912384033203, 60.21853408813477, 56.83581314086914, 53.92094345092774, 51.05019760131836, 47.892512512207034, 45.505123901367185, 43.03186569213867, 40.35245819091797, 38.16190795898437, 35.80994567871094, 33.988040924072266, 31.96865921020508, 30.31092224121094, 28.48790626525879, 26.816561889648437, 25.51367073059082, 23.744002532958984, 22.401293563842774, 21.073920059204102, 19.829784393310547, 18.82303581237793, 17.544718551635743, 16.408322906494142, 15.5014066696167, 14.5300048828125]",1471875
5,256,"[7613.4341796875, 569.66728515625, 380.6775146484375, 306.77784423828126, 265.42762451171876, 235.3680877685547, 211.55343322753907, 194.39693603515624, 179.15293579101564, 165.580615234375, 155.04868774414064, 144.54025268554688, 135.17970275878906, 126.99861145019531, 119.62969360351562, 112.47989654541016, 106.27713623046876, 100.29935455322266, 94.3779083251953, 89.16649932861328, 84.1063247680664, 79.56677856445313, 75.10426788330078, 71.40865020751953, 67.60954895019532, 63.73306884765625, 60.21577072143555, 57.10175476074219, 53.8493537902832, 50.890638732910155, 47.875474548339845, 45.51095733642578, 42.90653610229492, 40.457156372070315, 38.35060348510742, 35.89060897827149, 34.00971908569336, 32.166782760620116, 30.283416748046875, 28.4088996887207, 26.80712547302246, 25.183624267578125, 23.810179138183592, 22.37777671813965, 21.08023452758789, 19.760762023925782, 18.51654396057129, 17.59788360595703, 16.456357955932617, 15.46554946899414, 14.551262283325196]",1008725
5,192,"[14153.5513671875, 812.7602172851563, 485.0909484863281, 362.3561584472656, 299.0127868652344, 256.57286071777344, 228.31461181640626, 204.66229858398438, 187.93648986816407, 172.46278686523436, 159.5132629394531, 147.23068237304688, 138.4677947998047, 128.58351287841796, 121.2925796508789, 114.52758026123047, 107.50830841064453, 100.6603775024414, 95.16963043212891, 89.96024932861329, 84.67008209228516, 79.98252868652344, 75.664892578125, 71.42803649902343, 67.51717987060547, 63.77711944580078, 60.24668579101562, 56.96895904541016, 54.19706802368164, 50.80555038452148, 48.0292236328125, 45.4911392211914, 42.91162796020508, 40.59868392944336, 38.38076324462891, 36.147742462158206, 33.909837341308595, 32.06225738525391, 30.37693977355957, 28.587715911865235, 26.86113166809082, 25.21100616455078, 24.000079345703124, 22.28081359863281, 21.10279235839844, 19.764998626708984, 18.640743255615234, 17.5164794921875, 16.577782821655273, 15.560440063476562, 14.56125316619873]",757525
5,128,"[26504.555078125, 1324.6605224609375, 700.3621337890625, 492.627783203125, 380.31165771484376, 315.71881103515625, 269.94037475585935, 236.175732421875, 210.12469787597655, 190.88287048339845, 173.1832763671875, 158.83656005859376, 147.2219268798828, 135.91355590820314, 126.86638488769532, 118.1267822265625, 110.6450424194336, 103.56454010009766, 97.52252807617188, 91.78894348144532, 86.65060272216797, 81.1528106689453, 77.14456634521484, 72.38638763427734, 68.23175659179688, 64.38409271240235, 60.87699203491211, 57.51426315307617, 54.27766876220703, 51.085913848876956, 48.497439575195315, 45.4432861328125, 43.158110809326175, 40.839875030517575, 38.370812225341794, 36.13932800292969, 34.002220916748044, 31.8636043548584, 30.290683364868165, 28.650044250488282, 27.015549850463866, 25.30210151672363, 23.818774795532228, 22.512024688720704, 21.045442962646483, 19.840914916992187, 18.698110580444336, 17.516833114624024, 16.450291442871094, 15.560651397705078, 14.488559532165528]",506325
5,96,"[37985.47890625, 1809.744970703125, 930.0029663085937, 629.133056640625, 473.71734619140625, 380.0536804199219, 319.7493896484375, 274.79401245117185, 239.2160888671875, 212.47261962890624, 191.80194702148438, 174.3449920654297, 159.1346893310547, 145.61971740722657, 134.381103515625, 124.43530883789063, 116.39213256835937, 107.88503570556641, 101.19209136962891, 94.66456604003906, 88.52092895507812, 83.52033081054688, 78.06725616455078, 73.50364379882812, 69.51146545410157, 65.1314193725586, 61.623565673828125, 58.08865509033203, 54.59502944946289, 51.31248550415039, 48.64385147094727, 45.814876556396484, 43.399716186523435, 40.92810897827148, 38.657403564453126, 36.47259521484375, 34.12348937988281, 32.209173583984374, 30.467618560791017, 28.65235595703125, 26.935618591308593, 25.280947494506837, 23.95337791442871, 22.444140625, 21.081393432617187, 19.956444549560548, 18.658557510375978, 17.516050720214842, 16.371856689453125, 15.482489204406738, 14.559685707092285]",380725
5,64,"[58343.1703125, 2715.555029296875, 1356.7631103515625, 887.727587890625, 654.3529052734375, 516.2787719726563, 417.725732421875, 352.1222351074219, 302.8698669433594, 262.3717041015625, 231.86608276367187, 208.09539489746095, 188.0716766357422, 169.40615234375, 153.98809509277345, 141.207861328125, 129.5940734863281, 119.45610046386719, 110.65709228515625, 102.68199005126954, 95.51350402832031, 88.76312408447265, 82.76891326904297, 77.52843780517578, 72.89115447998047, 68.22464599609376, 63.88398208618164, 59.52875518798828, 56.3772689819336, 52.92564926147461, 49.673258209228514, 46.935472106933595, 44.010494995117185, 41.56533660888672, 38.994930267333984, 36.79019393920898, 34.600111389160155, 32.43826446533203, 30.632152557373047, 28.87804183959961, 27.086852645874025, 25.398653411865233, 23.90648307800293, 22.402784729003905, 21.222372436523436, 19.997722244262697, 18.801462936401368, 17.68856201171875, 16.568595123291015, 15.549853515625, 14.573828887939452]",255125
5,32,"[108054.6640625, 4977.25244140625, 2441.58046875, 1556.67080078125, 1142.3144775390624, 869.6354370117188, 701.28271484375, 575.6091674804687, 483.4420471191406, 414.7575927734375, 359.2348876953125, 311.8958801269531, 274.32679443359376, 243.69334411621094, 217.99808044433593, 194.46761474609374, 175.8937561035156, 159.30201721191406, 144.27911376953125, 130.88231201171874, 120.52916107177734, 109.45939483642579, 100.95233917236328, 93.45332336425781, 86.3347183227539, 79.83195037841797, 74.12013244628906, 68.65093841552735, 63.8818862915039, 59.20335235595703, 55.01900024414063, 51.47665786743164, 48.19143905639648, 44.47642593383789, 41.74783096313477, 39.16067276000977, 36.63606491088867, 34.229574584960936, 32.068471908569336, 29.74249687194824, 28.157358932495118, 26.291630935668945, 24.628823471069335, 23.25180854797363, 21.57265510559082, 20.40011520385742, 19.085427474975585, 17.823046112060545, 16.728502655029295, 15.784613227844238, 14.706192588806152]",129525
