,epoch,sigma,name,St_EV,St_EV_std,St_EV_rev,St_EV_rev_std,Dt_EV,Dt_EV_std,Dt_EV_rev,Dt_EV_rev_std,St_Var,St_Var_std,Dt_Var,Dt_Var_std
0,0,0.01,EDM,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,50034.05078125,19360.3046875,3127.78173828125,1210.3680419921875
1,0,0.01,mean isotropic,-5860995.5,975384.25,0.0008028626907616854,6.665255932603031e-05,0.0624191090464592,0.15607181191444397,-12.715790748596191,5.704126834869385,292191469568.0,121512566784.0,212.8627166748047,2.6632736989995465e-05
2,0,0.01,mean + std isotropic,0.9155335426330566,0.03892549127340317,0.9204148054122925,0.034945860505104065,1.0,6.180713718606512e-09,1.0,6.180713718606512e-09,52954.75,22022.09375,3127.798828125,1210.346435546875
3,0,0.01,gaussian,-785.378662109375,343.24505615234375,0.0014199403813108802,0.000848474504891783,0.9998741745948792,5.491617048392072e-05,0.9998742341995239,5.496801168192178e-05,33690456.0,1936216.5,3128.181640625,1211.3355712890625
4,0,0.01,gaussian regularize,-307.6017761230469,133.44186401367188,0.002324483823031187,0.00213669054210186,0.999950647354126,2.1344865672290325e-05,0.999950647354126,2.1363190171541646e-05,13252406.0,1014950.375,3128.392333984375,1211.3348388671875
5,0,0.01,gmm delta,-2866.10498046875,1230.8924560546875,0.00038475135806947947,0.0003943325427826494,0.9995413422584534,0.00019692759087774903,0.9995414614677429,0.0001970205776160583,122843104.0,1615167.625,3129.07958984375,1211.3243408203125
6,0,0.01,gmm_20_mode,-2226.895779600198,918.0685308029043,0.0004657679911158908,0.0001923779472695636,0.9996436018204723,0.00014688102596101854,0.999643670896363,0.0001469597940761794,96039672.81467974,3235972.1253810306,3128.8794518200275,1211.2971203609106
7,0,0.01,gmm_10_mode,-2043.413506075494,848.7794025008861,0.00048157175099069224,0.00022612749782609568,0.9996729535644415,0.0001357956768639675,0.9996730102866049,0.00013588081631974523,88196549.20916802,4350538.821193425,3128.8620155227177,1211.3420239283073
8,0,0.01,gmm_5_mode,-1675.3541686068293,740.0520208299287,0.000594226711501348,0.00028895694807582205,0.9997318319124242,0.00011840015891915593,0.9997318603779018,0.00011847992694215319,72089757.73586649,8839850.834499914,3128.7024716141195,1211.3412230926406
9,0,0.01,gmm_2_mode,-1064.2853389518714,501.3889372441991,0.0009830567668017405,0.00045067179102190703,0.9998295850949382,8.021615961258338e-05,0.9998295790241335,8.028886993339136e-05,45290993.65548095,4133332.4875250426,3128.38161580604,1211.3310201812405
10,0,0.01,gmm_1_mode,-689.7176899714316,301.1411851819249,0.0015286921697195465,0.0009644575199418407,0.9998895053835651,4.817869134242158e-05,0.9998894956439929,4.8223872396492566e-05,29599546.26489964,1756084.2009428907,3128.2043016179878,1211.3354028183574
11,0,0.02,EDM,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,49515.1484375,19773.7578125,3094.37744140625,1235.775634765625
12,0,0.02,mean isotropic,-365923.6875,59160.9921875,0.00320201413705945,0.00026325220824219286,0.06312817335128784,0.15148840844631195,-12.554494857788086,5.772943496704102,18090512384.0,7704066560.0,212.8627166748047,2.70271939371014e-05
13,0,0.02,mean + std isotropic,0.913529634475708,0.04580383747816086,0.9187099933624268,0.038662176579236984,0.9999997615814209,1.2530244930530898e-07,0.9999997615814209,1.2530244930530898e-07,52323.83984375,22282.751953125,3094.456298828125,1235.6805419921875
14,0,0.02,gaussian,-294.2309265136719,145.3474884033203,0.003900622483342886,0.002066980116069317,0.9992440938949585,0.000372130423784256,0.9992439150810242,0.00037411399534903467,12385292.0,602160.75,3096.443603515625,1239.549560546875
15,0,0.02,gaussian regularize,-208.92315673828125,102.79010772705078,0.004520200192928314,0.002882841508835554,0.9994625449180603,0.0002631705719977617,0.999462366104126,0.0002644884225446731,8819672.0,497525.4375,3096.707763671875,1239.5509033203125
16,0,0.02,gmm delta,-733.8358764648438,365.17578125,0.0016172616742551327,0.0009497769642621279,0.9981186389923096,0.0009349605534225702,0.998120129108429,0.0009385299636051059,30705818.0,388278.0,3099.265625,1239.61669921875
17,0,0.02,gmm_20_mode,-646.7857260889575,309.0739907737175,0.0017529622120618822,0.0007284390714500421,0.9983414797191743,0.0007913259216713354,0.9983425641791488,0.000794714495935007,27232041.717977744,825432.2958591934,3098.9296154666554,1239.7277904886064
18,0,0.02,gmm_10_mode,-598.8415636207644,282.92484629460796,0.001873106309265328,0.0008137280826570355,0.9984642307115534,0.0007243760868375091,0.9984650286496841,0.0007278300771164778,25270903.308430463,1194949.4896224206,3098.6706112050315,1239.7798811659165
19,0,0.02,gmm_5_mode,-498.61735752631205,249.20874891880976,0.0022734957595192144,0.001000443021045063,0.9987208329390228,0.0006380555469382963,0.9987211199260352,0.0006412377717675901,20995935.060123444,2391612.9429930244,3097.99125270537,1239.766223160136
20,0,0.02,gmm_2_mode,-360.1782038584142,193.2177643400156,0.0031672076131637134,0.0013733692640361134,0.9990752781423432,0.000494692069813147,0.9990750768264743,0.0004975997575470258,15003309.592506023,891326.258360589,3096.9844751064797,1239.6322434155484
21,0,0.02,gmm_1_mode,-283.23716617874277,139.85874171455043,0.003967957322537486,0.0021448392425918975,0.9992722704362096,0.00035807925017629485,0.9992720327321051,0.00035997663668524963,11925901.69092228,589257.1745185141,3096.4679268900745,1239.5496877226567
22,0,0.05,EDM,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,49873.46484375,20348.62890625,3116.997802734375,1271.7667236328125
