,epoch,sigma,name,St_EV,St_EV_std,St_EV_rev,St_EV_rev_std,Dt_EV,Dt_EV_std,Dt_EV_rev,Dt_EV_rev_std,St_Var,St_Var_std,Dt_Var,Dt_Var_std,St_residual,St_rev_residual,Dt_residual,Dt_rev_residual
0,0,0.01,EDM,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,14386.8662109375,436.3280029296875,899.540283203125,27.281936645507812,0.0,0.0,0.0,0.0
1,0,0.01,mean isotropic,-1618650.125,534211.0625,0.0008391758892685175,0.0001515620097052306,0.7411205172538757,0.0854361280798912,0.6542172431945801,0.10764244943857193,23169892352.0,7209362944.0,669.5364990234375,0.0,1618651.125,0.9991608241107315,0.25887948274612427,0.3457827568054199
2,0,0.01,mean + std isotropic,0.25226259231567383,0.03178640082478523,-1.5628323554992676,0.6640335321426392,0.9999998807907104,0.0,0.9999998807907104,0.0,4538.4130859375,1412.13720703125,900.0552368164062,27.308460235595703,0.7477374076843262,2.5628323554992676,1.1920928955078125e-07,1.1920928955078125e-07
3,0,0.01,gaussian,-419.9356689453125,305.25421142578125,-0.0011075243819504976,0.0017324581276625395,0.9999326467514038,4.882242501480505e-05,0.9999327063560486,4.8768517444841564e-05,6038786.5,4280045.0,900.1074829101562,27.332210540771484,420.9356689453125,1.0011075243819505,6.73532485961914e-05,6.729364395141602e-05
4,0,0.01,gaussian regularize,-92.85255432128906,128.30690002441406,-0.00707152858376503,0.004940135404467583,0.9999849796295166,2.0523095372482203e-05,0.9999850392341614,2.0509698515525088e-05,1338519.0,1810136.875,900.1127319335938,27.329931259155273,93.85255432128906,1.007071528583765,1.5020370483398438e-05,1.4960765838623047e-05
5,0,0.01,gmm_2_mode,-253.00498938140635,147.1728370970371,-0.0020009287060527925,0.002657662003549962,0.9999593754895072,2.3538555861283754e-05,0.9999594009001693,2.3515629230364886e-05,3641722.3328724205,2065276.9234750816,900.1049523153863,27.325977350258874,254.00498938140635,1.0020009287060527,4.06245104928038e-05,4.059909983067378e-05
6,0,0.01,gmm_5_mode,-270.3410221203947,52.374593222995685,-0.0017916502254180483,0.002738465129501455,0.9999566028470324,8.376742373183945e-06,0.999956630148175,8.371638445340046e-06,3890227.3685638513,710899.2168016906,900.1086370639607,27.324496933956272,271.3410221203947,1.001791650225418,4.339715296763913e-05,4.336985182495923e-05
7,0,0.01,gmm_10_mode,-297.8351826857353,44.21887058358699,-0.001525885120878963,0.0028119394142089374,0.9999522055605549,7.072264221860814e-06,0.9999522353269152,7.06838862927825e-06,4288044.508057747,603519.913433,900.1026205392698,27.317916701451647,298.8351826857353,1.001525885120879,4.779443944513684e-05,4.776467308476029e-05
8,0,0.01,gmm_20_mode,-318.95254882121606,32.40979982628909,-0.0013805261418990832,0.002803404613842205,0.9999488281463433,5.183438317974722e-06,0.9999488598965539,5.181281677029555e-06,4594817.860871552,465265.4259575266,900.1011189623575,27.322634597564704,319.95254882121606,1.001380526141899,5.117185365666188e-05,5.11401034460901e-05
9,0,0.01,gmm_50_mode,-361.2618243643802,32.732650154710825,-0.0010638576995721971,0.00279101712693024,0.9999420613913601,5.234952584928948e-06,0.9999420966168863,5.232177259657369e-06,5207871.137627173,515405.55660274316,900.0882364123731,27.309936199164834,362.2618243643802,1.0010638576995723,5.793860863989586e-05,5.790338311373322e-05
10,0,0.01,gmm_100_mode,-391.0999377739282,30.31273239201544,-0.0009604627826377484,0.0026749602688171583,0.9999372892043561,4.8479776155697845e-06,0.9999373277345038,4.843651285214669e-06,5637118.481283357,488431.966886333,900.0919032042955,27.31065337102564,392.0999377739282,1.0009604627826378,6.271079564390547e-05,6.267226549616645e-05
11,0,0.01,gmm_200_mode,-446.74238849266067,46.09258007734314,-0.000524937949472148,0.0025991786829708233,0.9999283899676888,7.3719542243122365e-06,0.9999284296707409,7.372444510194135e-06,6434180.230284873,646007.0637427869,900.043826131707,27.311958459786275,447.74238849266067,1.000524937949472,7.161003231115348e-05,7.157032925908524e-05
12,0,0.01,gmm_500_mode,-557.1612634773153,102.84444231272843,0.0004342613317895134,0.0027030071701663904,0.9999107300515364,1.644850501275858e-05,0.9999107568361361,1.648733833436952e-05,8016403.034457661,1391394.6627812618,899.861301436785,27.371894682244054,558.1612634773153,0.9995657386682105,8.926994846358838e-05,8.924316386393905e-05
13,0,0.01,gmm delta,-712.035400390625,38.89277648925781,-0.0005531180649995804,0.002281580585986376,0.9998859167098999,6.223680429684464e-06,0.9998860359191895,6.21660956312553e-06,10243554.0,469639.21875,900.14306640625,27.311689376831055,713.035400390625,1.0005531180649996,0.00011408329010009766,0.00011396408081054688
14,0,0.02,EDM,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,14374.5810546875,450.07940673828125,898.4090576171875,28.13147735595703,0.0,0.0,0.0,0.0
15,0,0.02,mean isotropic,-100982.3125,33855.046875,0.0033579394221305847,0.0006170329288579524,0.7414824962615967,0.08666728436946869,0.6552050113677979,0.10912007838487625,1447441792.0,457209376.0,669.5364990234375,0.0,100983.3125,0.9966420605778694,0.2585175037384033,0.34479498863220215
16,0,0.02,mean + std isotropic,0.25322869420051575,0.0325532965362072,-1.568964958190918,0.6699965000152588,0.9999980926513672,8.634919623773385e-08,0.9999980926513672,8.54191597454701e-08,4524.2705078125,1429.0999755859375,900.4678344726562,28.238483428955078,0.7467713057994843,2.568964958190918,1.9073486328125e-06,1.9073486328125e-06
